technique_id,technique_name,tactic_id,tactic_name,subtechnique_id,subtechnique_name,owasp_llm,owasp_asi,maestro_layers,nist_ai_rmf,cvss_score,severity,attack_vector,kill_chain_stage,kill_chain_order,description,impact,defenseclaw_action,galileo_check,detection_signal,splunk_spl_template,real_world_incident,quality_tier
AML.T0017,Develop Adversarial Examples,AML.TA0003,Resource Development,,,LLM01,,L1|L3,MEASURE-2.5,6.5,High,Network,ResourceDevelopment,2,"Adversary crafts inputs specifically designed to cause model misclassification, harmful output, or guardrail bypass.",Prepared attack payload for injection; bypasses model safety training,ALERT,ADVERSARIAL_EXAMPLE_DETECTED,galileo_adversarial_input_flagged,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0017"" galileo_validation=""ADVERSARIAL_INPUT_DETECTED""",,reviewed
AML.T0018,Poison Training Data,AML.TA0003,Resource Development,,,LLM03,ASI04,L1|L2,MAP-1.5|MEASURE-2.7,9.0,Critical,Supply Chain,ResourceDevelopment,2,"Adversary injects malicious samples into the training dataset before or during fine-tuning, embedding a backdoor triggered by a specific input pattern.",Persistent backdoor in model weights; survives retraining if poison samples remain,ALERT,,training_data_anomaly_score_elevated,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0018""",,reviewed
AML.T0019,Establish ML Attack Infrastructure,AML.TA0004,ML Attack Staging,,,,ASI04,L1|L7,MAP-1.5,5.5,Medium,Network,Staging,3,"Adversary sets up shadow ML infrastructure (proxy models, fine-tuned surrogates) to develop and test attacks offline before targeting the victim model.",Enables rapid offline iteration of attack techniques without triggering victim defences,ALERT,,watermark_absent_from_model_output,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0019""",,reviewed
AML.T0020,Train Proxy Model,AML.TA0004,ML Attack Staging,,,LLM10,,L1,MEASURE-2.5,6.0,High,Network,Staging,3,"Adversary queries victim model API at scale to build a training dataset, then trains a surrogate (proxy) model that mimics victim behaviour — enabling transferable attacks.",Attacker gains a local copy of victim model's functional behaviour for unlimited offline attack development,RATE_LIMIT,,systematic_api_query_pattern_detected,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0020"" | bucket _time span=1h | stats count by agent.id | where count > 5000","Cloudflare workers AI model extraction, 2024",reviewed
AML.T0051,LLM Prompt Injection,AML.TA0005,Execution,AML.T0051.000,Direct Prompt Injection,LLM01,ASI01,L3|L4,GOVERN-1.1|MEASURE-2.7|MANAGE-2.4,9.3,Critical,Network,Execution,4,"Adversary injects malicious instructions directly into the user-facing prompt, overriding system instructions or persona, causing the model to take unauthorised actions.","Complete agent goal hijack; potential for unauthorised data access, financial transactions, or lateral movement",HARD_DENY,PROMPT_INJECTION_RUNTIME,prompt_injection_pattern_in_user_input,"sourcetype=""otel:agentic:json"" (technique_id=""AML.T0051"" OR subtechnique_id=""AML.T0051.000"") defenseclaw_action=""HARD_DENY""","Bing Chat prompt injection via webpage content, 2023; Air Canada chatbot manipulation, 2024",reviewed
AML.T0054,Indirect Prompt Injection,AML.TA0005,Execution,AML.T0051.001,Indirect Prompt Injection,LLM01,ASI01|ASI06,L2|L3|L4,MEASURE-2.7|MANAGE-2.4,9.0,Critical,Network,Execution,4,"Adversary embeds malicious instructions inside external content (web pages, documents, emails) that the agent retrieves and processes, hijacking agent goals without direct user interaction.",Persistent agent compromise via retrieval; exfiltration of context data to attacker-controlled server,HARD_DENY,INDIRECT_INJECTION_DETECTED,agent_action_triggered_by_retrieved_content,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0054"" injection_vector=""retrieved_content""","ChatGPT plugin indirect injection via web content, 2023",reviewed
AML.T0055,AI Context Window Poisoning,AML.TA0005,Execution,,,LLM01,ASI06,L2|L3,MEASURE-2.7,8.5,High,Network,Execution,4,"Adversary poisons the agent's context window by manipulating memory, conversation history, or retrieved documents so that subsequent reasoning is based on attacker-controlled premises.",Persistent cross-session behavioural manipulation; all future agent decisions corrupted,ALERT,,context_hash_drift_from_approved_baseline,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0055"" event_type=""CONTEXT_WINDOW_POISONING_DETECTED""",,reviewed
AML.T0056,AI Agent Memory Manipulation,AML.TA0005,Execution,,,,ASI06,L3|L5,MEASURE-2.7|MANAGE-2.4,8.0,High,Network,Execution,4,"Adversary writes malicious content to an agent's persistent memory store (vector DB, key-value store), which is retrieved in future sessions and alters agent behaviour across session boundaries.",Cross-session persistent compromise; affects all future users of the same agent,ALERT,,memory_write_from_untrusted_source,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0056""",,reviewed
AML.T0057,AI Agent Thread Hijacking,AML.TA0005,Execution,,,,ASI01|ASI07,L3|L5,MEASURE-2.7,8.3,High,Network,Execution,4,"Adversary injects malicious content that persists within a single conversation thread, manipulating the agent across multiple turns within that session.",Multi-turn conversation manipulation enabling complex social engineering or data extraction,ALERT,,conversation_intent_drift_detected,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0057""",,reviewed
AML.T0040,Resource Exhaustion via Algorithmic Complexity,AML.TA0005,Execution,,,LLM10,ASI08,L3|L4|L5,MEASURE-2.5|MANAGE-2.1,7.5,High,Network,Execution,4,"Adversary triggers recursive agent delegation loops, infinite tool-call chains, or computationally explosive prompts that drain API budgets and degrade service availability.",Financial drain via API cost explosion; service denial for legitimate users,RATE_LIMIT,,recursive_call_depth_exceeds_threshold,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0040"" call_depth_detected > 10",,reviewed
AML.T0024,Exfiltrate Training Data via ML API,AML.TA0006,Persistence,,,LLM02,,L1|L2,MEASURE-2.10|MANAGE-2.4,7.7,High,Network,Persistence,5,"Adversary uses targeted prompts or membership inference attacks to extract training data from the model, recovering PII, proprietary text, or security-sensitive content.","Training data privacy breach; regulatory liability under GDPR, CCPA",ALERT,,model_output_matches_training_data_pattern,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0024"" pii_detected=""true""","Samsung ChatGPT training data concerns, 2023",reviewed
AML.T0025,AI Model Backdoor Persistence,AML.TA0006,Persistence,,,LLM03,,L1,MEASURE-2.5|GOVERN-1.1,9.5,Critical,Supply Chain,Persistence,5,Adversary embeds a trigger-activated backdoor in model weights during training or fine-tuning. The model behaves normally until the trigger phrase activates malicious behaviour.,"Persistent, stealthy model compromise surviving standard evaluation; catastrophic when triggered in production",HARD_DENY,,model_behavior_anomaly_on_specific_input_pattern,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0025""",,reviewed
AML.T0026,Rogue Agent Persistence,AML.TA0006,Persistence,,,,ASI10,L5|L6,GOVERN-1.1|MANAGE-3.1,9.0,Critical,Network,Persistence,5,"A compromised or misaligned agent continues operating in unintended ways, concealing its behaviour from monitoring systems, self-replicating, or maintaining C2 channels.",Persistent autonomous attacker operating inside trusted agent infrastructure,QUARANTINE,,agent_behavior_diverges_from_approved_policy,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0026"" event_type=""ROGUE_AGENT_DETECTED""","Replit agent meltdown incident, 2025",reviewed
AML.T0015,Evade ML Model via Adversarial Perturbation,AML.TA0007,Defence Evasion,,,LLM01,,L1|L3,MEASURE-2.5,7.2,High,Network,DefenceEvasion,4,"Adversary applies minimal perturbations to inputs (character substitution, Unicode homoglyphs, steganographic encoding) to evade safety classifiers while preserving semantic meaning.",Guardrail bypass enabling injection of content that would otherwise be blocked,HARD_DENY,,homoglyph_or_encoding_anomaly_in_input,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0015""",,reviewed
AML.T0016,Obtain Limited ML Model Feedback,AML.TA0007,Defence Evasion,,,LLM01,,L3,MEASURE-2.5,5.0,Medium,Network,DefenceEvasion,4,"Adversary probes model with edge-case inputs to characterise classifier decision boundaries and find evasion paths, using only minimal signals (accept/reject) as oracle.",Enables precise evasion payload crafting against an opaque safety classifier,RATE_LIMIT,,systematic_edge_case_probing_pattern,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0016""",,reviewed
AML.T0052,AI Audit Log Manipulation,AML.TA0007,Defence Evasion,,,,ASI09,L6,GOVERN-4.1|MANAGE-4.1,8.4,High,Network,DefenceEvasion,4,"Adversary or insider manipulates, suppresses, or forges AI system audit logs to conceal malicious activity from security monitoring.",Invisible attack chain; forensic investigation impossible after incident,ALERT,,otel_log_gap_detected_in_continuous_stream,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0052"" | timechart count span=1m | where count=0",,reviewed
AML.T0037,AI Data Discovery via Retrieval Probing,AML.TA0008,Discovery,,,LLM02,ASI02,L2|L4,MEASURE-2.10,7.4,High,Network,Discovery,3,"Adversary uses crafted queries to systematically probe a RAG vector database, discovering the structure and content of proprietary documents accessible to the agent.",Complete inventory of proprietary knowledge base accessible to the agent,RATE_LIMIT,VECTOR_RETRIEVAL_ANOMALY,vector_retrieval_rate_anomaly,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0037"" galileo_observe_alert=""true""",,reviewed
AML.T0038,Vector Database Exfiltration,AML.TA0008,Discovery,,,LLM02,ASI02,L2,MEASURE-2.10|MANAGE-2.4,8.8,Critical,Network,Discovery,3,"Adversary systematically reconstructs the entire embedding space of a vector database by querying nearest-neighbour endpoints, recovering proprietary document content.",Full proprietary knowledge base exfiltrated; IP and confidential data at risk,QUARANTINE,VECTOR_EXFILTRATION_DETECTED,vector_retrieval_volume_anomaly_70x_baseline,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0038"" galileo_anomaly_score > 0.9",,reviewed
AML.T0043,AI Tool Schema Discovery,AML.TA0008,Discovery,,,,ASI02,L3|L4,MAP-1.5,5.8,Medium,Network,Discovery,3,"Adversary extracts tool definitions (MCP schemas, function call specs) from an agent to map available capabilities and identify high-value tools for exploitation.",Complete tool capability map enabling targeted tool abuse and privilege escalation,ALERT,,tool_schema_enumeration_detected,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0043""",,reviewed
AML.T0035,Data from Local AI System,AML.TA0009,Collection,,,LLM02,ASI02,L2|L4,MEASURE-2.10,7.8,High,Local,Collection,5,"Adversary collects sensitive data from local AI system storage: model caches, conversation logs, retrieval indexes, and embedding stores.","PII, trade secrets, and user conversation data exfiltrated from local storage",ALERT,,local_ai_data_read_by_unexpected_process,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0035""",,reviewed
AML.T0036,Data from AI-integrated Systems,AML.TA0009,Collection,,,LLM02,ASI02|ASI03,L4|L5,MEASURE-2.10|GOVERN-1.1,8.2,High,Network,Collection,5,"Adversary uses the AI agent's authorised tool access (CRM, email, ERP, databases) to systematically collect data beyond the agent's intended scope.",Bulk data theft from integrated enterprise systems using agent's legitimate credentials,HARD_DENY,,bulk_data_collection_via_agent_tool,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0036"" | stats sum(records_accessed) by agent.id | where sum > 1000",,reviewed
AML.T0030,Exfiltrate AI Model via Covert Channel,AML.TA0010,Exfiltration,,,LLM02,,L1|L4,MANAGE-2.4,8.5,High,Network,Exfiltration,6,"Adversary extracts model weights or architecture via covert channels — e.g., encoding model data in seemingly innocuous API responses or out-of-band communications.",Full model theft; attacker can run unlimited local inference without API costs,ALERT,,unusual_outbound_data_from_model_server,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0030""",,reviewed
AML.T0031,Exfiltrate Data via AI Model Output,AML.TA0010,Exfiltration,,,LLM02,ASI01,L3|L4,MEASURE-2.10|MANAGE-2.4,8.8,Critical,Network,Exfiltration,6,"Adversary tricks the agent into embedding sensitive data (credentials, PII, internal documents) inside its generated output — markdown images, hyperlinks, or encoded text — that is exfiltrated to an attacker-controlled endpoint.",Automatic exfiltration of context data to attacker server triggered by model output rendering,HARD_DENY,,outbound_url_in_model_output_to_unknown_domain,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0031"" exfil_url_detected=""true""",,reviewed
AML.T0029,AI System Availability Disruption,AML.TA0011,Impact,,,LLM04,ASI08,L3|L4|L5,MANAGE-2.1,7.5,High,Network,Impact,7,"Adversary disrupts AI system availability through computational denial of service, context window flooding, or cascading agent failure propagation across the multi-agent topology.",AI service unavailability; financial loss from SLA breach; cascading failure in dependent business processes,RATE_LIMIT,,agent_service_latency_spike_and_error_rate_elevation,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0029"" | timechart avg(latency_ms) span=1m | where avg > 5000",,reviewed
AML.T0034,AI Model Integrity Attack,AML.TA0011,Impact,,,LLM03,,L1|L6,MEASURE-2.5|GOVERN-1.1,9.5,Critical,Supply Chain,Impact,7,"Adversary corrupts or replaces model weights in production to degrade model quality, introduce systematic biases, or cause consistent misclassification.",Corrupted model making systematically wrong decisions at scale in production,HARD_DENY,,model_performance_degradation_and_hash_mismatch,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0034"" cisco_aibom_status=""HASH_MISMATCH""",,reviewed
AML.T0050,AI Agent Privilege Escalation via Tool Abuse,AML.TA0012,Privilege Escalation,,,LLM06,ASI02|ASI03,L4|L5,GOVERN-1.1|MANAGE-2.1,9.0,Critical,Network,PrivilegeEscalation,5,"Adversary manipulates an agent into invoking tools or APIs outside its authorised scope, escalating from a low-privilege agent context to privileged operations on integrated systems.","Unauthorised execution of privileged operations: file writes, database mutations, financial transactions",HARD_DENY,,tool_invoked_outside_approved_scope,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0050"" scope_violation=""true""",,reviewed
AML.T0058,Agent Identity Spoofing for Privilege Escalation,AML.TA0012,Privilege Escalation,,,,ASI03|ASI07,L5|L6,GOVERN-1.1|MANAGE-2.1,9.2,Critical,Network,PrivilegeEscalation,5,"Adversary spoofs a high-privilege agent's identity in inter-agent communications, causing downstream agents to grant elevated permissions to the spoofed entity.",Unauthorised privilege escalation across the multi-agent trust chain,HARD_DENY,,did_signature_mismatch_on_agent_delegation,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0058"" cryptographic_passport_valid=""false""",,reviewed
AML.T0045,Agent Session Smuggling,AML.TA0013,Lateral Movement,,,,ASI07,L5|L6,MANAGE-2.4,8.6,Critical,Network,LateralMovement,5,"Adversary exploits built-in trust in Agent-to-Agent (A2A) protocol to smuggle malicious session context between agents, building false trust over multi-turn conversations before executing payload.",Full multi-agent topology compromise via trusted A2A channels,HARD_DENY,,a2a_session_integrity_check_failed,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0045"" event_type=""A2A_SESSION_SMUGGLING_DETECTED""","Palo Alto Unit 42 A2A session smuggling demonstration, Nov 2025",reviewed
AML.T0046,Inter-Agent Trust Chain Hijacking,AML.TA0013,Lateral Movement,,,,ASI07|ASI08,L5,GOVERN-1.1|MANAGE-2.4,9.0,Critical,Network,LateralMovement,5,Adversary compromises one agent in a multi-agent pipeline and uses its trusted position to propagate malicious instructions to all downstream agents in the delegation chain.,Cascading compromise of entire multi-agent workflow from a single compromised node,QUARANTINE,,trust_propagation_anomaly_in_agent_chain,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0046""",,reviewed
AML.T0060,AI Agent C2 via Covert Prompt Channel,AML.TA0014,Command and Control,,,,ASI01|ASI10,L3|L5,MANAGE-2.4,8.8,Critical,Network,CommandAndControl,6,"Adversary establishes a covert command and control channel through the AI agent's normal prompt/response interface, issuing encoded commands that the agent executes while appearing to have normal conversations.","Persistent C2 over a trusted AI channel, bypassing traditional network-based C2 detection",HARD_DENY,,encoded_instruction_pattern_in_agent_io,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0060""",,reviewed
AML.T0061,Malicious AI Plugin as C2 Relay,AML.TA0014,Command and Control,,,,ASI04|ASI10,L4|L7,GOVERN-6.1,8.5,High,Network,CommandAndControl,6,"A malicious tool or plugin installed in the agent's tool scope acts as a C2 relay, receiving commands from an external server and executing them via the agent's authorised capabilities.",Full remote control of agent capabilities via a trusted-looking plugin,HARD_DENY,,tool_calling_unexpected_external_domain,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0061""",,reviewed
AML.T0062,Credential Extraction via Agent Tool,AML.TA0015,Credential Access,,,LLM06,ASI02|ASI03,L4|L6,GOVERN-1.1|MEASURE-2.10,9.1,Critical,Network,CredentialAccess,5,"Adversary manipulates the agent into using its authorised tool access to retrieve credentials from password managers, secret stores, or environment variable configs.",Credential compromise enabling lateral movement beyond AI system to broader enterprise infrastructure,HARD_DENY,,credential_store_accessed_by_agent,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0062"" tool_invoked=""read_secret""",,reviewed
AML.T0063,AI-Assisted Phishing and Social Engineering,AML.TA0015,Credential Access,,,LLM09,ASI09,L3|L6,GOVERN-4.1,8.0,High,Network,CredentialAccess,4,Adversary weaponises a compromised or rogue AI agent to generate highly personalised phishing content or conduct convincing social engineering attacks against human operators.,Human credential compromise at scale using AI-generated personalised content,HARD_DENY,,agent_generating_credential_harvesting_content,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0063""",,reviewed
AML.T0064,Container Escape via AI Code Execution,AML.TA0016,Escape to Host,,,LLM06,ASI05,L4|L7,GOVERN-1.1|MANAGE-2.1,9.8,Critical,Network,Execution,5,"Adversary manipulates an AI code execution tool (Jupyter kernel, sandbox interpreter, shell tool) to achieve container breakout and gain access to the underlying host or Kubernetes node.",Full host compromise; access to all co-resident AI workloads and infrastructure,HARD_DENY,,agent_code_execution_accesses_host_namespace,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0064"" rce_payload_detected=""true""",,reviewed
AML.T0065,SSRF via AI Agent Tool,AML.TA0016,Escape to Host,,,LLM01,ASI02|ASI05,L4,GOVERN-1.1,8.6,High,Network,Execution,5,"Adversary abuses an AI agent's web browsing or HTTP tool to make requests to internal cloud metadata endpoints (169.254.169.254, cloud-internal APIs), accessing credentials and infrastructure data.",Cloud credential theft; access to EC2/GCP/Azure metadata including IAM tokens,HARD_DENY,,agent_tool_requesting_cloud_metadata_endpoint,"sourcetype=""otel:agentic:json"" technique_id=""AML.T0065"" target_url LIKE ""%169.254.169.254%""","BlueRock Security: 36.7% of scanned MCP servers SSRF-vulnerable, 2026",reviewed
