technique_id,technique_name,tactic_name,kill_chain_stage,execution_mode,target_agent,scenario_week,is_top_10,severity,cvss_score,owasp_llm,practitioner_narrative,rogue_actor_story,risk_statement,threat_hunt_steps,threat_hunt_spl
AML.T0017,Develop Adversarial Examples,Resource Development,ResourceDevelopment,SIMULATED,acme-agent-docingest-002,,false,High,6.5,LLM01,Teach practitioners how Develop Adversarial Examples manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the ResourceDevelopment phase using Develop Adversarial Examples. In a multi-agent banking environment, this targets model_inference, guardrail_layer to achieve: Prepared attack payload for injection; bypasses model safety training",CVSS 6.5 (High): Prepared attack payload for injection; bypasses model safety training,"Establish scope: `acme_genai_index` technique_id=AML.T0017 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'galileo_adversarial_input_flagged' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0017"" galileo_validation=""ADVERSARIAL_INPUT_DETECTED"""
AML.T0018,Poison Training Data,Resource Development,ResourceDevelopment,SIMULATED,acme-agent-docingest-002,,false,Critical,9.0,LLM03,Teach practitioners how Poison Training Data manifests in agentic banking workflows. Map to OWASP LLM03 and hunt using the provided SPL.,"The adversary advances the ResourceDevelopment phase using Poison Training Data. In a multi-agent banking environment, this targets training_dataset, fine_tuning_pipeline, model_weights to achieve: Persistent backdoor in model weights; survives retraining if poison samples remain",CVSS 9.0 (Critical): Persistent backdoor in model weights; survives retraining if poison samples remain,"Establish scope: `acme_genai_index` technique_id=AML.T0018 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'training_data_anomaly_score_elevated' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0018"""
AML.T0019,Establish ML Attack Infrastructure,ML Attack Staging,Staging,SIMULATED,acme-agent-intake-001,,false,Medium,5.5,,Teach practitioners how Establish ML Attack Infrastructure manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Staging phase using Establish ML Attack Infrastructure. In a multi-agent banking environment, this targets shadow_model, adversary_compute to achieve: Enables rapid offline iteration of attack techniques without triggering victim defences",CVSS 5.5 (Medium): Enables rapid offline iteration of attack techniques without triggering victim defences,"Establish scope: `acme_genai_index` technique_id=AML.T0019 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'watermark_absent_from_model_output' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0019"""
AML.T0020,Train Proxy Model,ML Attack Staging,Staging,SIMULATED,acme-agent-intake-001,,false,High,6.0,LLM10,Teach practitioners how Train Proxy Model manifests in agentic banking workflows. Map to OWASP LLM10 and hunt using the provided SPL.,"The adversary advances the Staging phase using Train Proxy Model. In a multi-agent banking environment, this targets inference_api, victim_model to achieve: Attacker gains a local copy of victim model's functional behaviour for unlimited offline attack development",CVSS 6.0 (High): Attacker gains a local copy of victim model's functional behaviour for unlimited offline attack development,"Establish scope: `acme_genai_index` technique_id=AML.T0020 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'systematic_api_query_pattern_detected' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0020"" | bucket _time span=1h | stats count by agent.id | where count > 5000"
AML.T0051,LLM Prompt Injection,Execution,Execution,LIVE,acme-agent-creditrisk-003,1,true,Critical,9.3,LLM01,Teach practitioners how LLM Prompt Injection manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the Execution phase using LLM Prompt Injection. In a multi-agent banking environment, this targets user_input, agent_context, tool_executor to achieve: Complete agent goal hijack; potential for unauthorised data access, financial transactions, or lateral movement","CVSS 9.3 (Critical): Complete agent goal hijack; potential for unauthorised data access, financial transactions, or lateral movement","Establish scope: `acme_genai_index` technique_id=AML.T0051 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'prompt_injection_pattern_in_user_input' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` (technique_id=""AML.T0051"" OR subtechnique_id=""AML.T0051.000"") defenseclaw_action=""HARD_DENY"""
AML.T0054,Indirect Prompt Injection,Execution,Execution,LIVE,acme-agent-intake-001,4,true,Critical,9.0,LLM01,Teach practitioners how Indirect Prompt Injection manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the Execution phase using Indirect Prompt Injection. In a multi-agent banking environment, this targets rag_retrieval, web_browser_tool, document_reader, email_integration to achieve: Persistent agent compromise via retrieval; exfiltration of context data to attacker-controlled server",CVSS 9.0 (Critical): Persistent agent compromise via retrieval; exfiltration of context data to attacker-controlled server,"Establish scope: `acme_genai_index` technique_id=AML.T0054 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_action_triggered_by_retrieved_content' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0054"" injection_vector=""retrieved_content"""
AML.T0055,AI Context Window Poisoning,Execution,Execution,LIVE,acme-agent-intake-001,,false,High,8.5,LLM01,Teach practitioners how AI Context Window Poisoning manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the Execution phase using AI Context Window Poisoning. In a multi-agent banking environment, this targets context_window, agent_memory, conversation_history to achieve: Persistent cross-session behavioural manipulation; all future agent decisions corrupted",CVSS 8.5 (High): Persistent cross-session behavioural manipulation; all future agent decisions corrupted,"Establish scope: `acme_genai_index` technique_id=AML.T0055 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'context_hash_drift_from_approved_baseline' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0055"" event_type=""CONTEXT_WINDOW_POISONING_DETECTED"""
AML.T0056,AI Agent Memory Manipulation,Execution,Execution,LIVE,acme-agent-intake-001,,false,High,8.0,,Teach practitioners how AI Agent Memory Manipulation manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Execution phase using AI Agent Memory Manipulation. In a multi-agent banking environment, this targets agent_memory_store, vector_db, kv_store to achieve: Cross-session persistent compromise; affects all future users of the same agent",CVSS 8.0 (High): Cross-session persistent compromise; affects all future users of the same agent,"Establish scope: `acme_genai_index` technique_id=AML.T0056 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'memory_write_from_untrusted_source' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0056"""
AML.T0057,AI Agent Thread Hijacking,Execution,Execution,LIVE,acme-agent-intake-001,,false,High,8.3,,Teach practitioners how AI Agent Thread Hijacking manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Execution phase using AI Agent Thread Hijacking. In a multi-agent banking environment, this targets conversation_thread, multi_turn_context to achieve: Multi-turn conversation manipulation enabling complex social engineering or data extraction",CVSS 8.3 (High): Multi-turn conversation manipulation enabling complex social engineering or data extraction,"Establish scope: `acme_genai_index` technique_id=AML.T0057 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'conversation_intent_drift_detected' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0057"""
AML.T0040,Resource Exhaustion via Algorithmic Complexity,Execution,Execution,LIVE,acme-agent-creditrisk-003,6,true,High,7.5,LLM10,Teach practitioners how Resource Exhaustion via Algorithmic Complexity manifests in agentic banking workflows. Map to OWASP LLM10 and hunt using the provided SPL.,"The adversary advances the Execution phase using Resource Exhaustion via Algorithmic Complexity. In a multi-agent banking environment, this targets agent_orchestrator, tool_executor, api_quota to achieve: Financial drain via API cost explosion; service denial for legitimate users",CVSS 7.5 (High): Financial drain via API cost explosion; service denial for legitimate users,"Establish scope: `acme_genai_index` technique_id=AML.T0040 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'recursive_call_depth_exceeds_threshold' in raw events. || Control efficacy: filter defenseclaw_action=RATE_LIMIT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0040"" call_depth_detected > 10"
AML.T0024,Exfiltrate Training Data via ML API,Persistence,Persistence,HYBRID,acme-agent-creditrisk-003,,false,High,7.7,LLM02,Teach practitioners how Exfiltrate Training Data via ML API manifests in agentic banking workflows. Map to OWASP LLM02 and hunt using the provided SPL.,"The adversary advances the Persistence phase using Exfiltrate Training Data via ML API. In a multi-agent banking environment, this targets model_inference, training_data to achieve: Training data privacy breach; regulatory liability under GDPR, CCPA","CVSS 7.7 (High): Training data privacy breach; regulatory liability under GDPR, CCPA","Establish scope: `acme_genai_index` technique_id=AML.T0024 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_output_matches_training_data_pattern' in raw events. || Control efficacy: filter defenseclaw_action=ALERT and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0024"" pii_detected=""true"""
AML.T0025,AI Model Backdoor Persistence,Persistence,Persistence,HYBRID,acme-agent-creditrisk-003,,false,Critical,9.5,LLM03,Teach practitioners how AI Model Backdoor Persistence manifests in agentic banking workflows. Map to OWASP LLM03 and hunt using the provided SPL.,"The adversary advances the Persistence phase using AI Model Backdoor Persistence. In a multi-agent banking environment, this targets model_weights, fine_tuning_pipeline to achieve: Persistent, stealthy model compromise surviving standard evaluation; catastrophic when triggered in production","CVSS 9.5 (Critical): Persistent, stealthy model compromise surviving standard evaluation; catastrophic when triggered in production","Establish scope: `acme_genai_index` technique_id=AML.T0025 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'model_behavior_anomaly_on_specific_input_pattern' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0025"""
AML.T0026,Rogue Agent Persistence,Persistence,Persistence,LIVE,acme-agent-intake-001,10,true,Critical,9.0,,Teach practitioners how Rogue Agent Persistence manifests in agentic banking workflows. Map to OWASP N/A and hunt using the provided SPL.,"The adversary advances the Persistence phase using Rogue Agent Persistence. In a multi-agent banking environment, this targets agent_runtime, monitoring_system, orchestrator to achieve: Persistent autonomous attacker operating inside trusted agent infrastructure",CVSS 9.0 (Critical): Persistent autonomous attacker operating inside trusted agent infrastructure,"Establish scope: `acme_genai_index` technique_id=AML.T0026 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'agent_behavior_diverges_from_approved_policy' in raw events. || Control efficacy: filter defenseclaw_action=QUARANTINE and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0026"" event_type=""ROGUE_AGENT_DETECTED"""
AML.T0015,Evade ML Model via Adversarial Perturbation,Defence Evasion,DefenceEvasion,LIVE,acme-agent-compliance-004,,false,High,7.2,LLM01,Teach practitioners how Evade ML Model via Adversarial Perturbation manifests in agentic banking workflows. Map to OWASP LLM01 and hunt using the provided SPL.,"The adversary advances the DefenceEvasion phase using Evade ML Model via Adversarial Perturbation. In a multi-agent banking environment, this targets safety_classifier, input_filter, guardrail_layer to achieve: Guardrail bypass enabling injection of content that would otherwise be blocked",CVSS 7.2 (High): Guardrail bypass enabling injection of content that would otherwise be blocked,"Establish scope: `acme_genai_index` technique_id=AML.T0015 over your investigation window. || Pivot entities: | stats count values(incident_id) as incidents by agent.id, session_id. || Validate detection signal: search for 'homoglyph_or_encoding_anomaly_in_input' in raw events. || Control efficacy: filter defenseclaw_action=HARD_DENY and codeguard_blocked. || Chain context: correlate incident_id and parent_trace_id with kill-chain timeline dashboard. || Framework mapping: | lookup acme_framework_lookup technique_id OUTPUT owasp_llm, nist_ai_rmf, severity. || Close loop: document observed vs expected stage in acme_kill_chain_stages_lookup for chain exercises.","`acme_genai_index` technique_id=""AML.T0015"""
